Client,Type,Year,Quarter,Amount,Sent,Date Sent,Payment Received,Payment Received Date
ACME Corp,Contract,2024,Q1,5000,Yes,2024-01-15,Yes,2024-02-10
TechStart Inc,Project,2024,Q1,7500,Yes,2024-01-20,Yes,2024-02-15
Global Systems,Contract,2024,Q1,10000,Yes,2024-02-01,Yes,2024-03-05
DataFlow LLC,Project,2024,Q2,8500,Yes,2024-04-10,Yes,2024-05-12
Innovation Hub,Contract,2024,Q2,6000,Yes,2024-04-15,Yes,2024-05-20
Smart Solutions,Project,2024,Q2,9000,Yes,2024-05-01,Yes,2024-06-08
Enterprise Co,Contract,2024,Q3,7000,Yes,2024-07-05,Yes,2024-08-10
Digital Wave,Project,2024,Q3,5500,Yes,2024-07-20,Yes,2024-08-25
CloudTech,Contract,2024,Q3,8000,Yes,2024-08-01,Yes,2024-09-15
NextGen Ltd,Project,2024,Q4,6500,Yes,2024-10-10,Yes,2024-11-05
FutureSoft,Contract,2024,Q4,7500,Yes,2024-10-15,No,
MegaCorp,Project,2024,Q4,12000,Yes,2024-11-01,No,
AgileWorks,Contract,2024,Q1,4500,Yes,2024-01-25,Yes,2024-02-28
WebMasters,Project,2024,Q2,5000,Yes,2024-04-20,Yes,2024-05-30
CodeCrafters,Contract,2024,Q3,6000,Yes,2024-07-10,Yes,2024-08-15
